Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-09,137.914,140.133,134.779,134.977,1724500,0.0,0.0
2022-05-10,136.46,138.046,132.342,133.031,1692900,0.0,0.0
2022-05-11,133.844,137.234,133.201,133.664,991800,0.0,0.0
2022-05-12,132.748,132.748,128.111,131.294,942100,0.0,0.0
2022-05-13,132.342,135.61,132.333,134.599,1027800,0.0,0.0
2022-05-16,133.957,138.358,131.105,136.639,1322300,0.0,0.0
2022-05-17,144.166,148.114,142.835,146.867,1765800,0.0,0.0
2022-05-18,144.808,147.84,142.372,142.901,1042000,0.0,0.0
2022-05-19,141.493,144.043,140.275,141.682,934600,0.0,0.0
2022-05-20,143.552,145.318,139.85,142.353,1002300,0.0,0.0
2022-05-23,144.27,145.479,142.117,143.354,662400,0.0,0.0
2022-05-24,142.608,142.636,138.282,141.163,628800,0.0,0.0
2022-05-25,140.832,143.514,140.813,143.052,586000,0.0,0.0
2022-05-26,144.119,147.953,144.119,147.094,559800,0.0,0.0
2022-05-27,148.614,150.371,148.237,150.362,608300,0.0,0.0
2022-05-31,148.926,150.173,147.632,147.821,1803100,0.0,0.0
2022-06-01,148.161,149.398,144.261,146.593,664600,0.0,0.0
2022-06-02,147.661,149.729,146.867,149.606,400900,0.0,0.0
2022-06-03,148.426,149.568,147.566,148.114,348400,0.0,0.0
2022-06-06,148.832,151.977,148.596,150.418,532800,0.0,0.0
2022-06-07,148.501,152.402,147.831,152.335,595700,0.0,0.0
2022-06-08,150.55,151.476,148.463,149.634,499200,0.0,0.0
2022-06-09,148.18,149.153,146.518,146.641,397200,0.0,0.0
2022-06-10,142.835,142.976,137.593,137.621,748700,0.0,0.0
2022-06-13,134.448,135.402,129.443,130.075,972200,0.0,0.0
2022-06-14,129.943,131.19,127.592,128.64,718200,0.0,0.0
2022-06-15,129.877,130.104,124.277,126.912,1441300,0.0,0.0
2022-06-16,121.339,121.746,114.832,116.343,1639800,0.0,0.0
2022-06-17,115.966,118.355,112.622,115.692,3033500,0.0,0.0
2022-06-21,117.987,119.507,116.447,117.203,1501500,0.0,0.0
2022-06-22,113.302,115.172,111.886,114.011,1388900,0.0,0.0
2022-06-23,113.954,114.445,111.565,113.633,1081900,0.0,0.0
2022-06-24,115.05,120.489,114.606,120.48,1968000,0.0,0.0
2022-06-27,119.809,120.48,116.381,117.779,1070600,0.0,0.0
2022-06-28,118.204,119.63,115.446,116.173,1105500,0.0,0.0
2022-06-29,115.541,115.881,110.658,113.076,1504200,0.0,0.0
2022-06-30,111.159,112.358,108.92,111.074,1164600,0.0,0.0
2022-07-01,110.28,112.188,106.89,109.289,1262600,0.0,0.0
2022-07-05,106.38,108.514,103.934,106.758,1678100,0.0,0.0
2022-07-06,106.89,108.779,104.614,107.135,1397000,0.0,0.0
2022-07-07,109.685,110.497,107.277,108.618,1080900,0.0,0.0
2022-07-08,109.156,109.156,105.52,106.71,1292000,0.0,0.0
2022-07-11,105.558,106.691,103.632,105.001,1118000,0.0,0.0
2022-07-12,105.35,107.239,104.727,105.454,2184500,0.0,0.0
2022-07-13,102.838,103.235,100.402,102.196,1457500,0.0,0.0
2022-07-14,100.024,100.864,98.919,100.798,1143700,0.0,0.0
2022-07-15,103.395,103.896,101.497,102.697,925200,0.0,0.0
2022-07-18,104.567,105.445,102.933,103.537,1563300,0.0,0.0
2022-07-19,105.416,109.638,104.878,109.213,1978900,0.0,0.0
2022-07-20,108.883,109.78,107.796,109.043,741400,0.0,0.0
2022-07-21,108.618,108.958,106.427,108.788,737100,0.0,0.0
2022-07-22,109.225,110.052,106.983,107.677,676200,0.68,0.0
2022-07-25,108.551,110.052,107.354,109.396,778900,0.0,0.0
2022-07-26,108.437,110.213,107.591,108.845,1383100,0.0,0.0
2022-07-27,109.472,112.503,108.456,112.227,1058600,0.0,0.0
2022-07-28,113.139,114.688,111.809,113.795,1456200,0.0,0.0
2022-07-29,113.139,117.405,109.976,111.638,1545900,0.0,0.0
2022-08-01,109.586,109.691,106.955,108.171,1259200,0.0,0.0
2022-08-02,107.211,108.769,105.453,105.881,1100800,0.0,0.0
2022-08-03,106.499,106.632,104.598,105.092,1127800,0.0,0.0
2022-08-04,105.187,106.879,104.332,105.434,1076700,0.0,0.0
2022-08-05,104.171,105.596,103.867,105.311,783400,0.0,0.0
2022-08-08,107.05,107.791,105.377,105.444,929400,0.0,0.0
2022-08-09,105.605,106.404,104.418,105.149,804300,0.0,0.0
2022-08-10,107.762,109.501,106.974,108.18,685400,0.0,0.0
2022-08-11,109.292,111.923,108.608,110.413,897700,0.0,0.0
2022-08-12,111.097,111.828,110.536,111.743,778400,0.0,0.0
